ID,ID_Enfermedad,ID_Sintoma,ID_Signo
1,01,S01,SG01
2,01,S02,
3,02,S03,
4,02,S04,
5,03,S05,
6,03,S06,
7,03,S07,
8,04,S08,SG01
9,04,S09,SG01
10,05,S02,
11,05,S05,
12,06,S10,
13,07,S11,SG08
14,08,S12,SG07
15,09,S13,
16,10,S14,SG02
17,10,S14,SG03
18,11,S14,SG04
19,11,S14,SG05
20,12,S15,
21,12,S06,
22,12,S07,
23,13,S16,
24,13,S17,
25,14,S18,SG06
26,14,S07,SG06
27,15,S19,
28,15,S05,
29,16,S20,
30,16,S21,
31,16,S22,
32,16,S23,
33,16,S07,
34,17,S24,
35,18,S25,
36,18,S26,
37,19,S27,
38,19,S28,
39,20,S29,
40,21,S30,
41,21,S31,
42,22,S32,
43,23,S33,SG09
44,24,S34,
45,25,S35,
46,26,S36,