ID,ID_Enfermedad,ID_Localizacion
1,01,L04
2,01,L05
3,01,L07
4,02,L04
5,02,L05
6,03,L01
7,03,L02
8,03,L04
9,04,L04
10,04,L05
11,05,L02
12,05,L04
13,06,L06
14,07,L04
15,07,L05
16,07,L07
17,08,L05
18,09,L02
19,10,L04
20,10,L07
21,11,L04
22,12,L02
23,12,L04
24,13,L04
25,13,L05
26,13,L07
27,14,L02
28,14,L04
29,15,L04
30,16,L01
31,16,L04
32,16,L05
33,16,L07
34,17,L04
35,17,L05
36,17,L07
37,18,L04
38,18,L05
39,18,L07
40,19,L05
41,20,L05
42,21,L05
43,21,L07
44,22,L07
45,23,L04
46,24,L05
47,25,L05
48,26,L04
49,26,L05